Ref,Val,Package,PosX,PosY,Rot,Side
"D88","RED","LED_0603_1608Metric",192.000000,-118.000000,90.000000,top
"D89","RED","LED_0603_1608Metric",195.000000,-118.000000,90.000000,top
"D90","RED","LED_0603_1608Metric",174.000000,-100.000000,90.000000,top
"D91","RED","LED_0603_1608Metric",177.000000,-100.000000,90.000000,top
"D92","RED","LED_0603_1608Metric",180.000000,-100.000000,90.000000,top
"D93","RED","LED_0603_1608Metric",183.000000,-100.000000,90.000000,top
"D94","RED","LED_0603_1608Metric",186.000000,-100.000000,90.000000,top
"D95","RED","LED_0603_1608Metric",189.000000,-100.000000,90.000000,top
"D96","RED","LED_0603_1608Metric",192.000000,-100.000000,90.000000,top
"D97","RED","LED_0603_1608Metric",195.000000,-100.000000,90.000000,top
"D98","RED","LED_0603_1608Metric",174.000000,-103.000000,90.000000,top
"D99","RED","LED_0603_1608Metric",177.000000,-103.000000,90.000000,top
"D100","RED","LED_0603_1608Metric",180.000000,-103.000000,90.000000,top
"D101","RED","LED_0603_1608Metric",183.000000,-103.000000,90.000000,top
"D102","RED","LED_0603_1608Metric",186.000000,-103.000000,90.000000,top
"D103","RED","LED_0603_1608Metric",189.000000,-103.000000,90.000000,top
"D104","RED","LED_0603_1608Metric",192.000000,-103.000000,90.000000,top
"D105","RED","LED_0603_1608Metric",195.000000,-103.000000,90.000000,top
"D106","RED","LED_0603_1608Metric",174.000000,-112.000000,90.000000,top
"D107","RED","LED_0603_1608Metric",177.000000,-112.000000,90.000000,top
"D108","RED","LED_0603_1608Metric",180.000000,-112.000000,90.000000,top
"D109","RED","LED_0603_1608Metric",183.000000,-112.000000,90.000000,top
"D110","RED","LED_0603_1608Metric",186.000000,-112.000000,90.000000,top
"D111","RED","LED_0603_1608Metric",189.000000,-112.000000,90.000000,top
"D112","RED","LED_0603_1608Metric",192.000000,-112.000000,90.000000,top
"D113","RED","LED_0603_1608Metric",195.000000,-112.000000,90.000000,top
"D114","RED","LED_0603_1608Metric",174.000000,-109.000000,90.000000,top
"D115","RED","LED_0603_1608Metric",177.000000,-109.000000,90.000000,top
"D116","RED","LED_0603_1608Metric",180.000000,-109.000000,90.000000,top
"D117","RED","LED_0603_1608Metric",183.000000,-109.000000,90.000000,top
"D118","RED","LED_0603_1608Metric",186.000000,-109.000000,90.000000,top
"D119","RED","LED_0603_1608Metric",189.000000,-109.000000,90.000000,top
"D120","RED","LED_0603_1608Metric",192.000000,-109.000000,90.000000,top
