Designator,Mid X,Mid Y,Rotation,Layer
D360,216.0,-139.0,90.0,top
D361,219.0,-139.0,90.0,top
D362,198.0,-145.0,90.0,top
D363,201.0,-145.0,90.0,top
D364,204.0,-145.0,90.0,top
D365,207.0,-145.0,90.0,top
D366,210.0,-145.0,90.0,top
D367,213.0,-145.0,90.0,top
D368,216.0,-145.0,90.0,top
D369,219.0,-145.0,90.0,top
D37,159.0,-103.0,90.0,top
D370,198.0,-142.0,90.0,top
D371,201.0,-142.0,90.0,top
D372,204.0,-142.0,90.0,top
D373,207.0,-142.0,90.0,top
D374,210.0,-142.0,90.0,top
D375,213.0,-142.0,90.0,top
D376,216.0,-142.0,90.0,top
D377,219.0,-142.0,90.0,top
D378,198.0,-124.0,90.0,top
D379,201.0,-124.0,90.0,top
D38,162.0,-103.0,90.0,top
D380,204.0,-124.0,90.0,top
D381,207.0,-124.0,90.0,top
D382,210.0,-124.0,90.0,top
D383,213.0,-124.0,90.0,top
D384,216.0,-124.0,90.0,top
D385,219.0,-124.0,90.0,top
D386,198.0,-127.0,90.0,top
D387,201.0,-127.0,90.0,top
D388,204.0,-127.0,90.0,top
D389,207.0,-127.0,90.0,top
D39,165.0,-103.0,90.0,top
D390,210.0,-127.0,90.0,top
D391,213.0,-127.0,90.0,top
D392,216.0,-127.0,90.0,top
D393,219.0,-127.0,90.0,top
D394,222.0,-103.0,90.0,top
D395,225.0,-103.0,90.0,top
D396,228.0,-103.0,90.0,top
D397,231.0,-103.0,90.0,top
D398,234.0,-103.0,90.0,top
D399,237.0,-103.0,90.0,top
D4,156.0,-115.0,90.0,top
D40,168.0,-103.0,90.0,top
D400,240.0,-103.0,90.0,top
D401,243.0,-103.0,90.0,top
D402,222.0,-112.0,90.0,top
D403,225.0,-112.0,90.0,top
D404,228.0,-112.0,90.0,top
D405,231.0,-112.0,90.0,top
D406,234.0,-112.0,90.0,top
D407,237.0,-112.0,90.0,top
D408,240.0,-112.0,90.0,top
D409,243.0,-112.0,90.0,top
D41,171.0,-103.0,90.0,top
D410,198.0,-136.0,90.0,top
D411,201.0,-136.0,90.0,top
D412,204.0,-136.0,90.0,top
D413,207.0,-136.0,90.0,top
D414,210.0,-136.0,90.0,top
D415,213.0,-136.0,90.0,top
D416,216.0,-136.0,90.0,top
D417,219.0,-136.0,90.0,top
D418,198.0,-133.0,90.0,top
D419,201.0,-133.0,90.0,top
D42,150.0,-112.0,90.0,top
D420,204.0,-133.0,90.0,top
D421,207.0,-133.0,90.0,top
D422,210.0,-133.0,90.0,top
D423,213.0,-133.0,90.0,top
D424,216.0,-133.0,90.0,top
D425,219.0,-133.0,90.0,top
D426,198.0,-130.0,90.0,top
D427,201.0,-130.0,90.0,top
D428,204.0,-130.0,90.0,top
D429,207.0,-130.0,90.0,top
D43,153.0,-112.0,90.0,top
D430,210.0,-130.0,90.0,top
D431,213.0,-130.0,90.0,top
D432,216.0,-130.0,90.0,top
D433,219.0,-130.0,90.0,top
D434,222.0,-139.0,90.0,top
D435,225.0,-139.0,90.0,top
D436,228.0,-139.0,90.0,top
D437,231.0,-139.0,90.0,top
D438,234.0,-139.0,90.0,top
D439,237.0,-139.0,90.0,top
D44,156.0,-112.0,90.0,top
D440,240.0,-139.0,90.0,top
D441,243.0,-139.0,90.0,top
D442,222.0,-145.0,90.0,top
D443,225.0,-145.0,90.0,top
D444,228.0,-145.0,90.0,top
D445,231.0,-145.0,90.0,top
D446,234.0,-145.0,90.0,top
D447,237.0,-145.0,90.0,top
D448,240.0,-145.0,90.0,top
D449,243.0,-145.0,90.0,top
D45,159.0,-112.0,90.0,top
D450,222.0,-109.0,90.0,top
D451,225.0,-109.0,90.0,top
D452,228.0,-109.0,90.0,top
D453,231.0,-109.0,90.0,top
D454,234.0,-109.0,90.0,top
D455,237.0,-109.0,90.0,top
D456,240.0,-109.0,90.0,top
D457,243.0,-109.0,90.0,top
D458,222.0,-106.0,90.0,top
D459,225.0,-106.0,90.0,top
D46,162.0,-112.0,90.0,top
D460,228.0,-106.0,90.0,top
D461,231.0,-106.0,90.0,top
D462,234.0,-106.0,90.0,top
D463,237.0,-106.0,90.0,top
D464,240.0,-106.0,90.0,top
D465,243.0,-106.0,90.0,top
D466,222.0,-142.0,90.0,top
D467,225.0,-142.0,90.0,top
D468,228.0,-142.0,90.0,top
D469,231.0,-142.0,90.0,top
D47,165.0,-112.0,90.0,top
D470,234.0,-142.0,90.0,top
D471,237.0,-142.0,90.0,top
D472,240.0,-142.0,90.0,top
D473,243.0,-142.0,90.0,top
D474,222.0,-124.0,90.0,top
D475,225.0,-124.0,90.0,top
D476,228.0,-124.0,90.0,top
D477,231.0,-124.0,90.0,top
D478,234.0,-124.0,90.0,top
D479,237.0,-124.0,90.0,top
D48,168.0,-112.0,90.0,top
D480,240.0,-124.0,90.0,top
D481,243.0,-124.0,90.0,top
D482,222.0,-127.0,90.0,top
D483,225.0,-127.0,90.0,top
D484,228.0,-127.0,90.0,top
D485,231.0,-127.0,90.0,top
D486,234.0,-127.0,90.0,top
D487,237.0,-127.0,90.0,top
D488,240.0,-127.0,90.0,top
D489,243.0,-127.0,90.0,top
D49,171.0,-112.0,90.0,top
D490,222.0,-136.0,90.0,top
D491,225.0,-136.0,90.0,top
D492,228.0,-136.0,90.0,top
D493,231.0,-136.0,90.0,top
D494,234.0,-136.0,90.0,top
D495,237.0,-136.0,90.0,top
D496,240.0,-136.0,90.0,top
D497,243.0,-136.0,90.0,top
D498,222.0,-133.0,90.0,top
D499,225.0,-133.0,90.0,top
D5,159.0,-115.0,90.0,top
D50,150.0,-109.0,90.0,top
D500,228.0,-133.0,90.0,top
D501,231.0,-133.0,90.0,top
D502,234.0,-133.0,90.0,top
D503,237.0,-133.0,90.0,top
D504,240.0,-133.0,90.0,top
D505,243.0,-133.0,90.0,top
D506,222.0,-130.0,90.0,top
D507,225.0,-130.0,90.0,top
D508,228.0,-130.0,90.0,top
D509,231.0,-130.0,90.0,top
D51,153.0,-109.0,90.0,top
D510,234.0,-130.0,90.0,top
D511,237.0,-130.0,90.0,top
D512,240.0,-130.0,90.0,top
D513,243.0,-130.0,90.0,top
D514,174.0,-163.0,90.0,top
D515,177.0,-163.0,90.0,top
D516,180.0,-163.0,90.0,top
D517,183.0,-163.0,90.0,top
D518,186.0,-163.0,90.0,top
D519,189.0,-163.0,90.0,top
D52,156.0,-109.0,90.0,top
D520,192.0,-163.0,90.0,top
D521,195.0,-163.0,90.0,top
D522,174.0,-169.0,90.0,top
D523,177.0,-169.0,90.0,top
D524,180.0,-169.0,90.0,top
D525,183.0,-169.0,90.0,top
D526,186.0,-169.0,90.0,top
D527,189.0,-169.0,90.0,top
D528,192.0,-169.0,90.0,top
D529,195.0,-169.0,90.0,top
D53,159.0,-109.0,90.0,top
D530,174.0,-166.0,90.0,top
D531,177.0,-166.0,90.0,top
D532,180.0,-166.0,90.0,top
D533,183.0,-166.0,90.0,top
D534,186.0,-166.0,90.0,top
D535,189.0,-166.0,90.0,top
D536,192.0,-166.0,90.0,top
D537,195.0,-166.0,90.0,top
D538,174.0,-148.0,90.0,top
D539,177.0,-148.0,90.0,top
D54,162.0,-109.0,90.0,top
D540,180.0,-148.0,90.0,top
D541,183.0,-148.0,90.0,top
D542,186.0,-148.0,90.0,top
D543,189.0,-148.0,90.0,top
D544,192.0,-148.0,90.0,top
D545,195.0,-148.0,90.0,top
D546,174.0,-151.0,90.0,top
D547,177.0,-151.0,90.0,top
D548,180.0,-151.0,90.0,top
D549,183.0,-151.0,90.0,top
D55,165.0,-109.0,90.0,top
D550,186.0,-151.0,90.0,top
D551,189.0,-151.0,90.0,top
D552,192.0,-151.0,90.0,top
D553,195.0,-151.0,90.0,top
D554,174.0,-160.0,90.0,top
D555,177.0,-160.0,90.0,top
D556,180.0,-160.0,90.0,top
D557,183.0,-160.0,90.0,top
D558,186.0,-160.0,90.0,top
D559,189.0,-160.0,90.0,top
D56,168.0,-109.0,90.0,top
D560,192.0,-160.0,90.0,top
D561,195.0,-160.0,90.0,top
D562,174.0,-157.0,90.0,top
D563,177.0,-157.0,90.0,top
D564,180.0,-157.0,90.0,top
D565,183.0,-157.0,90.0,top
D566,186.0,-157.0,90.0,top
D567,189.0,-157.0,90.0,top
D568,192.0,-157.0,90.0,top
D569,195.0,-157.0,90.0,top
D57,171.0,-109.0,90.0,top
D570,174.0,-154.0,90.0,top
D571,177.0,-154.0,90.0,top
D572,180.0,-154.0,90.0,top
D573,183.0,-154.0,90.0,top
D574,186.0,-154.0,90.0,top
D575,189.0,-154.0,90.0,top
D576,192.0,-154.0,90.0,top
D577,195.0,-154.0,90.0,top
D578,150.0,-163.0,90.0,top
D579,153.0,-163.0,90.0,top
D58,150.0,-106.0,90.0,top
D580,156.0,-163.0,90.0,top
D581,159.0,-163.0,90.0,top
D582,162.0,-163.0,90.0,top
D583,165.0,-163.0,90.0,top
D584,168.0,-163.0,90.0,top
D585,171.0,-163.0,90.0,top
D586,150.0,-169.0,90.0,top
D587,153.0,-169.0,90.0,top
D588,156.0,-169.0,90.0,top
D589,159.0,-169.0,90.0,top
D59,153.0,-106.0,90.0,top
D590,162.0,-169.0,90.0,top
D591,165.0,-169.0,90.0,top
D592,168.0,-169.0,90.0,top
D593,171.0,-169.0,90.0,top
D594,150.0,-166.0,90.0,top
D595,153.0,-166.0,90.0,top
D596,156.0,-166.0,90.0,top
D597,159.0,-166.0,90.0,top
D598,162.0,-166.0,90.0,top
D599,165.0,-166.0,90.0,top
D6,162.0,-115.0,90.0,top
D60,156.0,-106.0,90.0,top
D600,168.0,-166.0,90.0,top
D601,171.0,-166.0,90.0,top
D602,150.0,-148.0,90.0,top
D603,153.0,-148.0,90.0,top
D604,156.0,-148.0,90.0,top
D605,159.0,-148.0,90.0,top
D606,162.0,-148.0,90.0,top
D607,165.0,-148.0,90.0,top
D608,168.0,-148.0,90.0,top
D609,171.0,-148.0,90.0,top
D61,159.0,-106.0,90.0,top
